mark,fuel,vol_engine,year,mileage,price
0,0,1991,2007,227854,22900
0,0,2231,2014,237000,36900
0,0,1991,2009,165256,29900
0,0,2231,2015,81482,51000
0,0,1991,2010,145000,27900
0,0,1991,2007,168000,27900
0,0,1991,2008,236000,22900
0,0,1991,2008,194654,22900
0,0,1991,2009,199000,28400
0,0,2231,2014,133800,39800
0,0,1991,2008,147900,25900
0,0,1991,2007,207062,21900
0,0,2231,2013,181100,37900
0,0,2198,2014,97000,46000
0,0,1991,2007,197384,23000
0,0,1991,2008,200000,27060
0,0,1991,2008,152000,23500
0,0,2231,2014,141923,53900
0,0,1991,2007,174000,23800
0,0,2231,2011,151000,32500
0,0,1991,2008,227000,23500
0,1,2405,2007,220630,24900
0,0,2200,2011,111000,39999
0,0,2231,2011,188000,32000
0,0,1991,2007,159000,27300
0,0,1991,2008,139000,28900
0,0,1991,2007,223000,18700
0,0,2231,2012,232456,32900
0,0,1991,2008,240000,24900
0,0,1991,2009,189150,30500
0,0,1991,2010,149121,29900
0,0,1991,2010,133537,36900
0,1,2405,2009,152400,24900
0,0,1991,2008,203226,22500
0,0,1991,2007,205700,23999
0,0,1991,2007,170000,24900
0,0,2000,2007,207000,25900
0,0,1991,2007,214891,23900
0,0,1991,2010,222797,28500
0,0,1991,2009,159800,29700
0,0,1991,2007,157900,25900
0,0,1991,2010,126000,35900
0,0,1991,2008,254849,25999
0,0,2231,2015,76000,44900
0,0,1991,2010,160000,29900
0,0,1991,2008,143000,26900
0,0,1991,2009,147000,29900
0,0,1991,2007,226906,20700
0,0,1991,2009,210000,26900
0,1,2405,2007,240000,24900
0,0,2231,2011,157042,28000
0,0,1991,2009,154298,10500
0,0,1991,2010,162000,29900
0,1,2405,2007,243000,25900
0,1,2400,2007,223000,26900
0,1,2405,2007,206528,25900
0,0,2231,2014,97000,49900
0,1,2405,2007,179000,23700
0,0,2231,2011,168000,34900
0,1,2384,2011,158000,37700
0,0,2200,2012,216000,35800
0,0,1991,2010,169000,30400
0,0,2231,2011,245000,30900
0,0,1991,2007,158513,16300
0,0,2231,2012,205000,32900
0,0,1991,2008,224119,27900
0,0,2231,2013,120000,38900
0,0,1991,2008,158000,21900
0,0,1991,2008,212000,18900
0,0,1991,2009,220122,26900
0,1,2405,2008,172000,29900
0,0,1991,2007,236000,22900
0,0,2231,2015,198000,43990
0,0,2231,2014,90532,47000
0,0,2231,2012,77234,39900
0,0,2231,2011,226200,26900
0,0,1991,2010,228337,28000
0,0,1991,2007,122000,25900
0,0,1991,2010,161500,35900
0,0,1991,2007,199000,24900
0,0,1991,2008,160000,24900
0,1,2384,2012,157000,37900
0,1,2384,2012,114447,34900
0,0,1991,2011,188000,32700
0,0,1991,2007,230000,20950
0,1,2405,2009,148000,24900
0,0,1991,2007,230117,22999
0,0,1991,2009,162410,32900
0,0,1991,2007,120400,25500
0,0,1991,2007,167000,22900
0,0,1991,2008,195000,28900
0,0,1991,2008,135000,23500
0,0,1991,2007,172000,17000
0,0,1991,2007,239575,22400
0,0,1991,2009,215000,25999
0,0,1991,2009,250000,26500
0,0,1991,2007,151000,25900
0,0,1991,2007,252000,24000
0,1,2405,2009,220000,24900
0,0,1991,2007,154743,23900
0,0,2231,2013,96000,53000
0,0,1991,2009,207000,26900
0,0,1991,2007,176000,24900
0,1,2405,2007,203000,25900
0,0,1991,2010,230000,26300
0,0,1991,2009,159000,29900
0,1,1364,2008,118812,9999
0,1,1364,2008,147000,9900
0,1,1598,2009,162420,18200
0,1,1389,2008,80784,13500
0,1,1364,2008,118812,9999
0,1,1364,2008,147000,9900
0,1,1598,2009,162420,18200
0,1,1389,2008,80784,13500
0,1,1364,2009,245000,14800
0,2,1364,2009,206676,13800
0,1,1364,2008,158000,11900
0,1,1598,2007,167161,14900
0,1,1796,2007,119000,18900
0,1,1389,2008,80784,13500
0,1,1364,2007,153000,9500
0,0,1686,2007,124100,10900
0,1,1364,2009,252370,9990
0,1,1796,2007,127496,16900
0,0,1686,2008,194000,9000
0,0,1910,2007,149000,13500
0,1,1598,2008,175000,16400
0,1,1364,2008,191000,13900
0,1,1598,2008,169900,14900
0,1,1364,2013,109953,38900
0,1,1598,2008,114528,18500
0,1,1598,2010,138620,24999
0,0,1686,2008,180300,13600
0,1,1364,2009,198900,15900
0,1,1398,2012,180000,28900
0,1,1598,2010,185970,14900
0,1,1364,2010,121000,17290
0,0,1910,2008,244000,16400
0,1,1598,2008,171000,16500
0,1,1364,2010,178701,21900
0,1,1600,2007,175000,16999
0,1,1364,2009,125000,18200
0,1,1598,2009,215000,14999
0,1,1598,2008,123000,16900
0,1,1598,2007,210319,13500
0,1,1598,2007,182000,14900
0,1,1598,2008,112846,15900
0,0,1686,2007,195000,13900
0,1,1398,2009,193000,15999
0,1,1598,2009,169232,17900
0,0,1686,2008,200000,11900
0,0,1686,2011,211000,14700
0,1,1598,2009,164000,19800
0,0,1686,2008,169000,12900
0,1,1598,2010,183000,21700
0,1,1598,2008,146000,14600
0,2,1598,2008,213000,14900
0,1,1364,2011,217000,26999
0,1,1796,2007,166000,16999
0,1,1598,2008,122300,16600
0,1,1364,2009,134000,13500
0,1,1364,2009,192000,15900
0,1,1796,2008,121650,13500
0,1,1598,2010,217000,18500
0,1,1598,2011,219783,17800
0,0,1910,2007,228000,12890
0,0,1910,2007,208000,17000
0,1,1796,2008,139420,16900
0,1,1364,2009,88500,15999
0,1,1598,2007,185000,14900
0,1,1364,2007,147000,13500
0,1,1364,2009,185009,14900
0,1,1598,2009,137300,16900
0,1,1598,2007,168000,15300
0,1,1598,2011,144134,16900
0,1,1364,2008,170000,15900
0,0,1686,2009,220000,11990
0,1,1364,2009,190000,13900
0,1,1598,2007,174123,13900
0,1,1796,2008,160000,13800
0,1,1598,2007,120000,14999
0,0,1910,2008,220000,12800
0,1,1598,2010,240000,16500
0,1,1398,2009,205000,11990
0,2,1598,2008,220000,14900
0,0,1686,2009,209495,14900
0,1,1364,2007,251000,12900
0,1,1364,2008,192265,16900
0,1,1796,2010,124323,22800
0,0,1910,2008,225000,11900
0,1,1598,2009,138000,20700
0,0,1910,2008,220000,12800
0,0,1686,2007,190000,14700
0,1,1598,2009,130000,19500
0,1,1998,2008,157727,24000
0,0,1248,2008,199500,7999
0,1,1364,2013,170000,26999
0,1,1598,2010,153100,16490
0,1,1364,2008,148000,13900
0,2,1598,2009,248864,17900
0,0,1686,2008,200000,13900
0,1,1600,2007,171000,14900
0,1,1598,2009,203000,14900
0,0,1248,2007,154000,11900
0,1,1598,2007,189980,15799
0,1,1598,2010,32000,29900
0,1,1796,2008,154000,19900
0,1,1598,2008,124000,17900
0,1,1598,2009,89420,19900
0,1,1598,2010,133000,20999
0,0,1686,2010,245000,12600
0,1,1598,2008,118148,16900
0,1,1364,2009,125500,12900
0,2,1598,2009,222000,16605
0,1,1598,2007,190000,14500
0,1,1598,2009,170000,14200
0,1,1598,2008,240000,13500
0,1,1598,2007,133000,16500
0,1,1598,2007,149591,15600
0,1,1364,2008,141000,16600
0,0,1686,2008,151900,11700
0,1,1598,2008,163560,12500
0,0,1910,2007,225000,15900
0,1,1598,2008,172000,18500
0,1,1598,2009,189800,18500
0,1,1598,2009,190000,15999
0,1,1598,2007,88000,15999
0,1,1598,2007,160000,9999
0,1,1598,2009,188416,17900
0,2,1796,2007,215000,13500
0,0,1686,2008,166600,14900
0,1,1598,2007,117388,13900
0,1,1796,2007,200770,10900
0,0,1956,2011,249000,24900
0,1,1598,2009,210000,19900
0,0,1686,2009,246000,12600
0,1,1598,2009,154000,15900
0,0,1686,2011,235000,22500
0,1,1598,2010,180000,19300
0,1,1796,2009,132000,18400
0,0,1686,2008,247000,14900
0,0,1686,2009,202039,15900
0,0,1686,2008,248597,7400
0,1,1598,2008,217000,13900
0,2,1598,2007,203000,10500
0,0,1910,2007,251900,14900
0,1,1598,2010,125000,17500
0,1,1598,2008,146851,13800
0,1,1364,2009,148325,17800
0,1,1364,2010,153000,16500
0,1,1364,2009,181200,16900
0,1,1364,2010,115079,16900
0,2,1598,2011,132117,19000
0,1,1598,2008,166000,16700
0,1,1598,2008,151654,14500
0,2,1598,2007,242752,13500
0,1,1598,2009,115983,17500
0,1,1598,2008,135000,15900
0,1,1598,2009,121000,22900
0,2,1598,2008,188160,14500
0,0,1248,2009,239042,15900
0,1,1796,2007,184000,18400
0,1,1364,2009,218575,12800
0,0,1686,2008,156000,13600
0,1,1364,2008,149537,16999
0,0,1956,2010,225000,16900
0,0,1910,2007,235563,12900
